#{"t_start": 1624582655.764554, "env_id": null}
r,l,t
3.30496,9,198.132407
67.041896,102,206.883967
2.508167,8,207.578226
2.516382,6,208.112052
3.544568,8,208.846447
3.35717,9,209.620746
2.907973,9,210.39616
4.336898,10,211.229358
6.1399,10,212.082464
2.525867,7,212.713294
1.793935,6,213.230795
2.690484,6,213.77966
1.930763,7,214.380837
1.508761,5,214.84762
3.826354,10,215.695328
3.444635,7,216.328932
1.814601,6,216.863297
1.434686,5,217.331404
1.550746,6,217.885401
1.645221,5,218.369939
2.776711,9,219.162717
5.397668,12,220.11887
1.434226,5,220.564248
8.138853,17,221.967244
1.85236,6,222.453359
2.060044,7,223.01447
2.845047,8,223.706928
1.208433,4,224.097869
3.198509,9,224.847988
8.348025,12,225.86337
3.31867,7,226.433933
1.910735,7,226.980885
3.882334,8,227.644491
3.093635,7,228.223067
3.608635,8,228.852355
2.201994,6,229.36135
3.13346,9,230.180236
4.79526,9,230.977719
1.793629,6,231.463609
3.149007,9,232.213669
3.208421,9,232.981039
6.45549,11,233.894874
3.611099,8,234.579638
2.167905,7,235.231341
1.321479,4,235.64547
4.640079,10,236.49653
2.429068,6,237.054129
5.549939,12,238.079057
1.591229,6,238.6012
1.387435,6,239.110927
2.686343,7,239.696166
2.447353,8,240.390764
2.060269,7,240.996026
4.839621,10,241.828146
3.022674,8,242.512665
1.351891,5,242.965597
9.390871,19,244.413527
4.11806,9,245.195022
1.572138,5,245.634296
2.122591,7,246.296455
2.263956,8,246.993111
5.907297,12,247.979502
2.003411,8,248.685654
2.270164,7,249.296491
4.225061,10,250.157234
2.183635,6,250.663526
1.636984,6,251.227286
6.09368,14,252.318849
5.37769,10,253.222238
3.366484,9,253.962273
2.553364,7,254.539553
4.063149,8,255.227886
3.148617,8,255.894017
2.370213,7,256.54548
3.469317,9,257.344538
4.267841,11,258.216919
1.74365,7,258.849487
2.021436,6,259.36943
2.593691,7,260.02016
7.481718,13,261.119444
3.844882,8,261.828542
1.72704,5,262.285069
2.15393,6,262.877035
4.104548,9,263.626248
1.868751,7,264.263381
1.932318,5,264.728224
2.424403,6,265.276577
1.564874,6,265.829425
3.886255,10,266.694535
2.706589,8,267.393498
1.61615,5,267.827987
5.684368,12,268.810093
1.676458,5,269.230255
4.143053,10,270.025839
1.851161,7,270.610937
1.305561,4,271.009173
3.429114,9,271.726059
1.851713,6,272.237972
2.412581,7,272.842679
3.755871,9,273.593146
4.647052,12,274.577701
1.922939,7,275.20003
2.059945,7,275.844894
7.629437,14,277.029488
1.472189,5,277.494946
2.431426,5,277.947219
3.131451,7,278.51501
2.70516,7,279.093802
9.374829,14,280.215885
3.367541,8,280.86835
3.752386,10,281.694431
2.661564,6,282.225029
1.766754,6,282.808627
4.380394,9,283.591619
4.796966,11,284.461028
2.292863,8,285.144001
1.640141,7,285.743449
2.817771,8,286.444321
3.615641,9,287.230784
3.294791,8,287.899331
9.480913,23,289.743765
2.907528,6,290.261806
1.74928,7,290.842496
2.680601,6,291.359849
5.162804,10,292.14905
2.322168,6,292.640552
5.388032,10,293.461999
1.797311,7,294.060924
3.953815,9,294.761508
1.867242,5,295.209013
4.535082,9,295.941772
5.145111,11,296.828248
4.041278,11,297.764558
3.050195,8,298.431812
5.207826,11,299.38786
1.245616,3,299.75138
1.315797,5,300.193307
3.37176,9,300.933258
3.518955,8,301.694597
1.644636,6,302.208054
5.230986,10,303.008616
1.333205,4,303.358849
1.72723,6,303.884519
3.861812,8,304.58712
4.0435,9,305.316954
4.395294,10,306.106543
4.467817,10,306.90854
3.115625,7,307.544658
9.17149,15,308.743351
5.939696,10,309.564723
3.902571,8,310.249209
2.098621,8,310.957515
3.094042,9,311.676393
6.093051,12,312.627944
8.173499,18,314.093447
4.842809,10,314.906826
1.772543,5,315.409165
4.728296,9,316.173958
2.40924,6,316.691704
4.555075,10,317.508153
3.891942,10,318.401628
13.594349,21,320.194391
5.209205,10,321.019341
3.58735,8,321.726181
2.948884,8,322.415357
2.021653,8,323.107128
7.629851,16,324.375039
4.319216,10,325.277154
2.336763,6,325.823533
1.773434,5,326.258596
4.353018,11,327.174105
1.760611,5,327.676857
3.323201,7,328.328627
2.803829,7,329.008598
4.33606,9,329.787111
3.327489,9,330.557736
2.428845,8,331.220135
3.843213,9,332.024103
1.455686,5,332.475111
5.62464,12,333.497438
1.156718,3,333.858572
